"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-06-18,"GM","Germany",3316312.04766666,"quantile",0.025,"95 day ahead cum case"
2021-03-15,2021-06-19,"GM","Germany",3321221.02821685,"quantile",0.025,"96 day ahead cum case"
2021-03-15,2021-06-20,"GM","Germany",3326089.54065698,"quantile",0.025,"97 day ahead cum case"
2021-03-15,2021-06-21,"GM","Germany",3330918.03217296,"quantile",0.025,"98 day ahead cum case"
2021-03-15,2021-06-22,"GM","Germany",3335706.94516535,"quantile",0.025,"99 day ahead cum case"
2021-03-15,2021-03-15,"GM","Germany",2585385,"quantile",0.975,"0 day ahead cum case"
2021-03-15,2021-03-16,"GM","Germany",2595613.71428571,"quantile",0.975,"1 day ahead cum case"
2021-03-15,2021-03-17,"GM","Germany",2607526.47151816,"quantile",0.975,"2 day ahead cum case"
2021-03-15,2021-03-18,"GM","Germany",2620972.44725054,"quantile",0.975,"3 day ahead cum case"
2021-03-15,2021-03-19,"GM","Germany",2635791.98887141,"quantile",0.975,"4 day ahead cum case"
2021-03-15,2021-03-20,"GM","Germany",2651824.74803282,"quantile",0.975,"5 day ahead cum case"
2021-03-15,2021-03-21,"GM","Germany",2668919.29756731,"quantile",0.975,"6 day ahead cum case"
2021-03-15,2021-03-22,"GM","Germany",2686940.45851695,"quantile",0.975,"7 day ahead cum case"
2021-03-15,2021-03-23,"GM","Germany",2705772.49836077,"quantile",0.975,"8 day ahead cum case"
2021-03-15,2021-03-24,"GM","Germany",2725318.43853509,"quantile",0.975,"9 day ahead cum case"
2021-03-15,2021-03-25,"GM","Germany",2745497.06153661,"quantile",0.975,"10 day ahead cum case"
2021-03-15,2021-03-26,"GM","Germany",2766239.33694271,"quantile",0.975,"11 day ahead cum case"
2021-03-15,2021-03-27,"GM","Germany",2787485.35952543,"quantile",0.975,"12 day ahead cum case"
2021-03-15,2021-03-28,"GM","Germany",2809182.16116724,"quantile",0.975,"13 day ahead cum case"
2021-03-15,2021-03-29,"GM","Germany",2831282.2964292,"quantile",0.975,"14 day ahead cum case"
2021-03-15,2021-03-30,"GM","Germany",2853742.94856375,"quantile",0.975,"15 day ahead cum case"
2021-03-15,2021-03-31,"GM","Germany",2876525.33157371,"quantile",0.975,"16 day ahead cum case"
2021-03-15,2021-04-01,"GM","Germany",2899594.22229384,"quantile",0.975,"17 day ahead cum case"
2021-03-15,2021-04-02,"GM","Germany",2922917.47127889,"quantile",0.975,"18 day ahead cum case"
2021-03-15,2021-04-03,"GM","Germany",2946465.81870855,"quantile",0.975,"19 day ahead cum case"
